Word,Normalized Score,Unique Letter Count,Unique Letters
Sacred,2.197,6,acders
Sacredly,2.639,8,acdelrsy
Sacry,2.303,5,acrsy
Sacrify,2.708,7,acfirsy
Sacrificable,3.045,9,abcefilrs
Sacrifical,2.833,7,acfilrs
Sacrificant,2.89,8,acfinrst
Sacrificati,2.89,7,acfirst
Sacrification,2.996,9,acfinorst
Sacrificator,2.944,8,acfiorst
Sacrificatory,3.135,9,acfiorsty
Sacrificature,2.996,9,acefirstu
Sacrifice,2.773,7,acefirs
Sacrificeable,3.091,9,abcefilrs
Sacrificed,2.89,8,acdefirs
Sacrificer,2.833,7,acefirs
Sacrificers,2.89,7,acefirs
Sacrifices,2.833,7,acefirs
Sacrificial,2.89,7,acfilrs
Sacrificing,2.944,8,acfginrs
Sacrificingly,3.178,10,acfgilnrsy
Sacrilege,2.485,8,acegilrs
Sacrileger,2.565,8,acegilrs
Sacrilegious,2.708,10,acegilorsu
Sacrilegiously,2.996,11,acegilorsuy
Sacrilegist,2.639,9,acegilrst
Sacrilumbal,2.833,9,abcilmrsu
Sacrilumbalis,2.944,9,abcilmrsu
Sacring,2.303,7,acginrs
Sacripant,2.565,8,acinprst
Sacrist,2.197,6,acirst
Sacristan,2.398,7,acinrst
Sacristans,2.485,7,acinrst
Sacristy,2.565,7,acirsty
Sacristies,2.485,7,aceirst
Sacristry,2.639,7,acirsty
Sacrists,2.303,6,acirst
Sacro,1.946,5,acors
Sacrocaudal,2.773,8,acdlorsu
Sacrocostal,2.708,7,aclorst
Sacrocotyloid,3.045,10,acdilorsty
Sacrocotyloidean,3.178,12,acdeilnorsty
Sacrocoxalgia,3.219,9,acgilorsx
Sacrocoxitis,3.135,8,aciorstx
Sacrodynia,2.773,9,acdinorsy
Sacrodorsal,2.639,7,acdlors
Sacrofemoral,2.944,9,aceflmors
Sacroiliac,2.639,7,acilors
Sacroiliacs,2.708,7,acilors
Sacroinguinal,2.773,10,acgilnorsu
Sacroischiac,3.045,7,achiors
Sacroischiadic,3.178,8,acdhiors
Sacroischiatic,3.135,8,achiorst
Sacrolumbal,2.833,9,abclmorsu
Sacrolumbalis,2.944,10,abcilmorsu
Sacrolumbar,2.833,9,abclmorsu
Sacropectineal,2.996,11,aceilnoprst
Sacroperineal,2.833,10,aceilnoprs
Sacropictorial,2.996,9,aciloprst
Sacroposterior,2.89,9,aceioprst
Sacropubic,2.89,9,abcioprsu
Sacrorectal,2.708,8,acelorst
Sacrosanct,2.639,7,acnorst
Sacrosanctity,2.996,9,acinorsty
Sacrosciatic,2.89,7,aciorst
Sacrosecular,2.773,8,acelorsu
Sacrospinal,2.708,9,acilnoprs
