Word,Normalized Score,Unique Letter Count,Unique Letters
Factorization,3.296,9,acfinortz
Factorizations,3.332,10,acfinorstz
Factorize,3.135,9,acefiortz
Factorized,3.219,10,acdefiortz
Factorizing,3.258,10,acfginortz
Factors,2.485,7,acforst
Factorship,2.996,10,acfhioprst
Factotum,2.708,7,acfmotu
Factotums,2.773,8,acfmostu
Factrix,2.944,7,acfirtx
Facts,2.303,5,acfst
Factual,2.485,6,acfltu
Factualism,2.833,9,acfilmstu
Factualist,2.708,8,acfilstu
Factualistic,2.944,8,acfilstu
Factuality,2.89,8,acfiltuy
Factum,2.565,6,acfmtu
Facture,2.485,7,acefrtu
Factures,2.565,8,acefrstu
Facula,2.398,5,acflu
Faculae,2.485,6,aceflu
Facular,2.485,6,acflru
Faculative,2.89,9,acefiltuv
Faculous,2.565,7,acflosu
Facultate,2.639,7,acefltu
Facultative,2.944,9,acefiltuv
Facultatively,3.178,10,acefiltuvy
Faculty,2.708,7,acfltuy
Facultied,2.708,9,acdefiltu
Faculties,2.639,9,acefilstu
Facultize,3.135,9,acefiltuz
Facund,2.485,6,acdfnu
Facundity,2.89,9,acdfintuy
Fad,1.946,3,adf
Fadable,2.565,6,abdefl
Fadaise,2.398,6,adefis
Fade,2.079,4,adef
Fadeaway,2.89,6,adefwy
Fadeaways,2.944,7,adefswy
Faded,2.303,4,adef
Fadedly,2.708,6,adefly
Faden,2.197,5,adefn
Fadeout,2.398,7,adefotu
Fader,2.197,5,adefr
Faders,2.303,6,adefrs
Fades,2.197,5,adefs
Fadge,2.303,5,adefg
Fadged,2.485,5,adefg
Fadges,2.398,6,adefgs
Fadging,2.565,6,adfgin
Fady,2.398,4,adfy
Fading,2.398,6,adfgin
Fadingly,2.773,8,adfgilny
Fadings,2.485,7,adfgins
Fadlike,2.708,7,adefikl
Fadme,2.398,5,adefm
Fadmonger,2.773,9,adefgmnor
Fadmongery,2.996,10,adefgmnory
Fadmongering,2.996,10,adefgimnor
Fado,2.079,4,adfo
Fados,2.197,5,adfos
Fads,2.079,4,adfs
Fae,1.792,3,aef
Faecal,2.398,5,acefl
Faecalith,2.833,8,acefhilt
Faeces,2.398,5,acefs
Faecula,2.485,6,aceflu
Faeculence,2.833,7,aceflnu
Faena,2.079,4,aefn
Faenas,2.197,5,aefns
Faence,2.398,5,acefn
Faenus,2.197,6,aefnsu
Faery,2.398,5,aefry
Faerie,2.197,5,aefir
Faeries,2.303,6,aefirs
Faeryland,2.773,8,adeflnry
Faeroe,2.197,5,aefor
Faeroese,2.398,6,aefors
Fafaronade,2.833,7,adefnor
Fafnir,2.485,5,afinr
Fag,1.946,3,afg
Fagaceae,2.639,5,acefg
Fagaceous,2.708,8,acefgosu
Fagald,2.398,5,adfgl
Fagales,2.398,6,aefgls
Fagara,2.303,4,afgr
Fage,2.079,4,aefg
Fagelia,2.398,6,aefgil
Fager,2.197,5,aefgr
Fagin,2.197,5,afgin
Fagine,2.303,6,aefgin
Fagins,2.303,6,afgins
Fagopyrism,3.045,10,afgimoprsy
Fagopyrismus,3.135,11,afgimoprsuy
Fagopyrum,2.996,9,afgmopruy
Fagot,2.197,5,afgot
Fagoted,2.485,7,adefgot
Fagoter,2.398,7,aefgort
Fagoters,2.485,8,aefgorst
Fagoty,2.565,6,afgoty
Fagoting,2.565,7,afginot
Fagotings,2.639,8,afginost
Fagots,2.303,6,afgost
Fags,2.079,4,afgs
Fagus,2.197,5,afgsu
Faham,2.565,4,afhm
Fahlband,2.833,7,abdfhln
Fahlbands,2.89,8,abdfhlns
Fahlerz,3.091,7,aefhlrz
Fahlore,2.565,7,aefhlor
Fahlunite,2.708,9,aefhilntu
Fahrenheit,2.944,8,aefhinrt
Fay,2.197,3,afy
Fayal,2.398,4,afly
Fayalite,2.639,7,aefilty
Fayalites,2.708,8,aefilsty
Fayed,2.485,5,adefy
Faience,2.485,6,acefin
Fayence,2.708,6,acefny
Faiences,2.565,7,acefins
Faying,2.565,6,afginy
Faikes,2.565,6,aefiks
Fail,1.946,4,afil
Failance,2.565,7,acefiln
Failed,2.303,6,adefil
Fayles,2.485,6,aeflsy
Failing,2.398,6,afgiln
Failingly,2.773,7,afgilny
Failings,2.485,7,afgilns
Fails,2.079,5,afils
Failsafe,2.639,6,aefils
Failsoft,2.639,7,afilost
Failure,2.303,7,aefilru
Failures,2.398,8,aefilrsu
Fain,1.946,4,afin
Fainaigue,2.565,7,aefginu
Fainaigued,2.708,8,adefginu
Fainaiguer,2.639,8,aefginru
Fainaiguing,2.773,6,afginu
Fainant,2.303,5,afint
Faineance,2.639,6,acefin
Faineancy,2.833,7,acefiny
Faineant,2.398,6,aefint
Faineantise,2.639,7,aefinst
Faineantism,2.773,8,aefimnst
Faineants,2.485,7,aefinst
Fainer,2.197,6,aefinr
Fainest,2.303,7,aefinst
Fainly,2.485,6,afilny
Fains,2.079,5,afins
Faint,2.079,5,afint
Fainted,2.398,7,adefint
Fainter,2.303,7,aefinrt
Fainters,2.398,8,aefinrst
Faintest,2.398,7,aefinst
Faintful,2.639,7,afilntu
Faintheart,2.773,8,aefhinrt
Fainthearted,2.944,9,adefhinrt
Faintheartedly,3.178,11,adefhilnrty
Fainty,2.485,6,afinty
Fainting,2.485,6,afgint
Faintingly,2.833,8,afgilnty
Faintise,2.398,7,aefinst
Faintish,2.639,7,afhinst
Faintly,2.565,7,afilnty
Faintling,2.565,7,afgilnt
Faints,2.197,6,afinst
Faipule,2.485,7,aefilpu
Fair,1.946,4,afir
Fairbanks,2.89,8,abfiknrs
Faire,2.079,5,aefir
Faired,2.303,6,adefir
Fairer,2.197,5,aefir
Fairest,2.303,7,aefirst
Fairfieldite,2.944,8,adefilrt
Fairgoer,2.485,7,aefgior
Fairgoing,2.639,7,afginor
Fairground,2.708,9,adfginoru
Fairgrounds,2.773,10,adfginorsu
Fairhead,2.708,7,adefhir
Fairy,2.398,5,afiry
Fairydom,2.833,8,adfimory
Fairies,2.303,6,aefirs
Fairyfolk,3.091,8,afiklory
Fairyish,2.833,7,afhirsy
Fairyism,2.773,7,afimrsy
Fairyisms,2.833,7,afimrsy
Fairyland,2.773,8,adfilnry
Fairylands,2.833,9,adfilnrsy
Fairily,2.565,6,afilry
